"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","N_sd","N_naive_se","seed"
"11303",227,50,50.0538666666667,50,0.5,59,50,51,0.239976146432694,0.00113125840310382,6500089
"11304",227,50,50.2532222222222,50,0.5,52,50,52,0.539378731241241,0.00254265572325652,3125863
"11305",227,50,50.0267777777778,50,0.5,49,50,51,0.168045034764923,0.000792171890846708,2202732
"11306",227,50,49.1678666666667,49,0.5,57,49,50,0.445274783317564,0.00209904545850147,3560285
"11307",227,50,50.3295111111111,50,0.5,55,50,52,0.638094670949792,0.00300800712578398,9555251
"11308",227,50,49.0266444444444,49,0.5,56,49,50,0.169645518702521,0.000799716644483077,1160130
"11309",227,50,50.0197777777778,50,0.5,51,50,50,0.145939034149307,0.000687963204578601,4650891
"11310",227,50,50.1881111111111,50,0.5,55,50,51,0.469204044618352,0.00221184907806528,3315772
"11311",227,50,50.0079555555556,50,0.5,55,50,50,0.0917920762613195,0.000432711997223812,7194739
"11312",227,50,49.0218888888889,49,0.5,56,49,49,0.154737296234998,0.000729438609801592,2066426
"11313",227,50,50.0279777777778,50,0.5,56,50,51,0.175487053874122,0.000827253905365604,3828571
"11314",227,50,50.2355333333333,50,0.5,59,50,52,0.533059645455378,0.0025128672671893,106186
"11315",227,50,50.2221555555556,50,0.5,48,50,52,0.526463844390953,0.00248177436278921,7946559
"11316",227,50,50.2894222222222,50,0.5,57,50,52,0.595966444875347,0.00280941276353998,5026259
"11317",227,50,50.1487555555556,50,0.5,58,50,51,0.410051445371295,0.00193300105104925,463173
"11318",227,50,50.0439333333333,50,0.5,63,50,51,0.223715784410696,0.00105460632143514,4141132
"11319",227,50,50.7548888888889,50,0.5,56,50,53,0.972183905624523,0.00458291888151682,6940380
"11320",227,50,50.0733777777778,50,0.5,55,50,51,0.283932198294319,0.00133846921874078,6940519
"11321",227,50,50.0119111111111,50,0.5,56,50,50,0.114273424815713,0.000538690090644014,8418128
"11322",227,50,50.0554666666667,50,0.5,60,50,51,0.262874042620428,0.00123920012089884,3737792
"11323",227,50,50.3327777777778,50,0.5,53,50,52,0.636309806932793,0.00299959319611787,2574039
"11324",227,50,50.1550222222222,50,0.5,60,50,51,0.421656594663941,0.00198770824945933,4981145
"11325",227,50,50.0276666666667,50,0.5,56,50,51,0.176294329630287,0.000831059439775418,7894685
"11326",227,50,50.7062444444444,50,0.5,56,50,53,0.943901316179066,0.00444959347627417,7511358
"11327",227,50,50.3668444444444,50,0.5,52,50,52,0.670995647382305,0.00316310381607123,8230548
"11328",227,50,50.0051111111111,50,0.5,51,50,50,0.0734589591636227,0.000346288854423356,2380864
"11329",227,50,50.0018,50,0.5,46,50,50,0.0434245413692388,0.000204705251147364,8080056
"11330",227,50,50.1558,50,0.5,44,50,51,0.424286753642689,0.00200010693778914,8564013
"11331",227,50,50.3544222222222,50,0.5,60,50,52,0.669871773898578,0.00315780582566098,5212848
"11332",227,50,48.4608888888889,48,0.5,53,48,50,0.738733302820701,0.00348242218608569,8681302
"11333",227,50,50.1869333333333,50,0.5,55,50,52,0.481104014188488,0.00226794607259166,9007829
"11334",227,50,50.0195111111111,50,0.5,42,50,50,0.145822609790722,0.000687414374888928,5527900
"11335",227,50,50.0124222222222,50,0.5,59,50,50,0.111760504670397,0.000526844071475124,5616674
"11336",227,50,50.0150444444444,50,0.5,59,50,50,0.125151514752031,0.000589969898379531,4369722
"11337",227,50,50.7385111111111,50,0.5,56,50,53,0.944986222632142,0.00445470777434032,7525834
"11338",227,50,50.0519333333333,50,0.5,63,50,51,0.236816285192314,0.00111636267436595,1176447
"11339",227,50,50.0559555555556,50,0.5,53,50,51,0.244729501633496,0.00115366593440966,9840068
"11340",227,50,50.1712222222222,50,0.5,57,50,51,0.450084815565515,0.00212172016796982,8486601
"11341",227,50,49.1882444444444,49,0.5,54,49,50,0.472313558541797,0.00222650746727503,8748957
"11342",227,50,50.0829555555556,50,0.5,54,50,51,0.304536794119641,0.00143560021495206,2905627
