"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"15",14,10,6.2,112.1,0.2,64,4,6.79131555555556,1.5925756848729,-0.320868444444444,0.892486754456417,-0.439595390703428,5,7,0.00420722290796871,0.42,2.94,0.950634572652458,0.0421067915858532,0.75,2,2
"16",15,10,6.98,111.62,0.2,64,5,7.49706044444445,1.43535461855551,-0.250293955555556,0.825635972562432,-0.424786068969266,5,7,0.00389208529993631,0.58,2.7,0.946834309857341,0.0441212952616203,0.75,2,2
"17",16,10,7.68,107.68,0.2,64,6,8.08723733333334,1.31232195980512,-0.191276266666666,0.73359044946384,-0.440998114843116,5,7,0.00345817854286379,0.72,2.38,0.945025607627792,0.0463304114208387,0.75,2,2
"18",17,10,5.46,114.8,0.2,81,3,6.24967511111111,1.86835415567101,-0.375032488888889,1.03782376631217,-0.444525138254936,5,7,0.00489234815223933,0.34,3.44,0.946856382357302,0.0459199623435708,0.75,2,2
"19",18,10,5.98,114.42,0.2,81,4,6.57911066666667,1.57130598496034,-0.342088933333333,0.898373413686049,-0.4282632267141,5,7,0.00423497288570075,0.36,3.02,0.942622297029724,0.0481751977446584,0.75,2,2
"20",19,10,7.24,117.12,0.2,81,5,7.74685422222222,1.38545681722465,-0.225314577777778,0.810778399468566,-0.414793453402093,5,7,0.00382204602869199,0.6,2.68,0.9450464413663,0.0462760811123192,0.75,2,2
"21",20,10,7.42,116.2,0.2,81,6,7.85106711111111,1.26821609906305,-0.214893288888889,0.749066482561825,-0.40935422353081,5,7,0.00353113326252681,0.64,2.46,0.942194396700597,0.0482882353005218,0.75,2,2
"22",21,10,4.89583333333333,119.916666666667,0.2,100,3,5.627025,1.78100794020722,-0.4372975,1.00672231305912,-0.434745746870736,5,7,0.00474573449557275,0.18,3.33333333333333,0.938743511778732,0.0509463599087951,0.75,2,2
"23",22,10,6.08,116.78,0.2,100,4,6.60983644444444,1.52118129072753,-0.339016355555556,0.833320642856564,-0.452188474880586,5,7,0.00392831118311073,0.34,2.78,0.924143337012257,0.0595326432124846,0.75,2,2
"24",23,10,6.48,118.92,0.2,100,5,7.006576,1.15071093789968,-0.2993424,0.831040831327409,-0.277802266445599,5,7,0.00391756404849678,0.4,2.64,0.934733750062709,0.0537132342805231,0.75,2,2
"25",24,10,7.16,120.1,0.2,100,6,7.54833288888889,1.51400530782715,-0.245166711111111,0.710350381418365,-0.530813810396851,5,7,0.00334862381146251,0.5,2.32,0.934500262176421,0.0528041831002903,0.75,2,2
"26",25,10,6.58,100.74,0.25,64,3,7.09461422222222,1.62136067696316,-0.290538577777778,0.830969089303179,-0.487486590053731,5,7,0.00391722585335125,0.38,2.68,0.947613145701274,0.0444767973350414,0.75,2,2
"27",26,10,7.22,103.36,0.25,64,4,7.68877288888889,1.65106817279228,-0.231122711111111,0.787570495096318,-0.522993351773974,5,7,0.00371264291830035,0.64,2.64,0.952144259402265,0.0417874739667021,0.75,2,2
"28",27,10,7.94,101.24,0.25,64,5,8.323208,1.59871393775424,-0.1676792,0.702245412841321,-0.560743547511829,5,7,0.00331041662318163,0.74,2.28,0.950639855101072,0.0432935282975849,0.75,2,2
"29",28,10,8.84,101.78,0.25,64,6,9.20621688888889,1.15446440081101,-0.0793783111111114,0.672738710186459,-0.417272018336937,5,7,0.00317132069293025,0.94,2.18,0.953200536440263,0.0419018349834448,0.75,2,2
"30",29,10,6.6,107.12,0.25,81,3,7.13852,1.61210757967183,-0.286148,0.84601292373694,-0.475213109593369,5,7,0.00398814316897232,0.44,2.76,0.943833540174974,0.0481407291238306,0.75,2,2
"31",30,10,7.22,108.32,0.25,81,4,7.68835955555556,1.60515121283269,-0.231164044444444,0.780225823919439,-0.513923786318838,5,7,0.00367801980633531,0.68,2.68,0.949580075578196,0.0441214057902025,0.75,2,2
