"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","credible_width","psi0_mean","psi0_sd","p","sigma","delta"
"908",948,500,490.78,320,0.4,64,5,490.831565777778,11.2274446009785,-0.0183368684444445,0.209210661955123,-0.981366137229759,5,7,0.000986228518433292,0.1,0.64,0.989014507896325,0.0113274507644814,0.75,1,4
"909",949,500,489.48,319.5,0.4,64,5,489.535812444445,10.9157711467231,-0.020928375111111,0.217967721164428,-0.98003185315681,5,7,0.00102750969143431,0.1,0.64,0.989138105920949,0.0112384768567943,0.75,2,1
"910",950,500,485.04,320,0.4,64,5,485.108132,24.7909568944852,-0.029783736,0.231470206863015,-0.990663119304019,5,7,0.0010911610194366,0.12,0.72,0.989131146630733,0.0112498063654075,0.75,2,2
"911",951,500,490.44,320,0.4,64,5,490.492019111111,12.9426410276805,-0.0190159617777778,0.205286038882918,-0.984138782923526,5,7,0.00096772766784691,0.08,0.58,0.989106975213386,0.0112557030057308,0.75,2,3
"912",952,500,486.92,320,0.4,64,5,486.994218666667,14.6413637000856,-0.0260115626666666,0.248952703967936,-0.982996617728547,5,7,0.00117357430113637,0.12,0.78,0.989171826047979,0.0112223368109856,0.75,2,4
"913",953,500,492.1,320,0.4,64,5,492.154825333333,7.3279943426366,-0.0156903493333332,0.21826260494135,-0.970215232881468,5,7,0.0010288997868898,0.08,0.7,0.989139666275775,0.0112456403320496,0.75,3,1
"914",954,500,488.02,320,0.4,64,5,488.090504,12.6611154183322,-0.0238189919999999,0.244579804085936,-0.980682602124312,5,7,0.00115296025340295,0.1,0.76,0.989116641980669,0.0112674274176627,0.75,3,2
"915",955,500,487.92,320,0.4,64,5,487.994279555556,15.4512699968657,-0.0240114408888888,0.24849904492956,-0.983917241431936,5,7,0.00117143573192048,0.06,0.74,0.98912217988786,0.0112689654180848,0.75,3,3
"916",956,500,485.4,320,0.4,64,5,485.474873333333,17.9617681843361,-0.0290502533333332,0.254482544171789,-0.985831988167305,5,7,0.00119964221784985,0.06,0.86,0.98919895838384,0.011179662471102,0.75,3,4
"917",957,500,488.63829787234,320,0.4,64,5,488.702543735225,14.0276806254458,-0.0225949125295508,0.231963559877381,-0.983463869325867,5,7,0.00109348670784979,0.08,0.851063829787234,0.989138140080202,0.0112372491248347,0.75,4,1
"918",958,500,489.14,320,0.4,64,5,489.203288,11.6220538553302,-0.0215934239999999,0.235837421104701,-0.979707767315453,5,7,0.00111174826480454,0.06,0.88,0.989175191550947,0.0112278051928859,0.75,4,2
"919",959,500,487.86,320,0.4,64,5,487.922894666667,13.9037699218494,-0.0241542106666667,0.227512142324186,-0.983636657999737,5,7,0.00107250252426474,0.14,0.68,0.989181220915106,0.0112372024477864,0.75,4,3
"920",960,500,489.06,320,0.4,64,5,489.121921333333,11.4751226045082,-0.0217561573333334,0.229731058366802,-0.979980078097244,5,7,0.00108296259480219,0.1,0.76,0.989158238655856,0.0112250300366139,0.75,4,4
"921",961,500,342.44,305.76,0.45,64,5,343.203464,20.0251946826048,-0.313593072,0.891790437724137,-0.955466578384938,5,7,0.00420394043941371,0,3,0.990443866165976,0.010432655881936,0.1,1,1
