"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion","psi0_mean","psi0_sd"
"19",18,10,6.56,30.74,0.2,25,4,7.03981422222222,1.73182388589496,-0.296018577777778,0.798342109885727,-0.539016572996875,5,7,0.00376342079737982,0.44,0.900020052485612,0.0908721684200549
"20",19,10,7.44,31.36,0.2,25,5,7.86191911111111,1.46802590846401,-0.213808088888889,0.74226137255342,-0.49438128559322,5,7,0.00349905366630238,0.66,0.893949933486136,0.0943363343958032
"21",20,10,7.74,31.8,0.2,25,6,8.22153644444444,1.38172476738657,-0.177846355555556,0.802067132586649,-0.41951743826399,5,7,0.00378098072279246,0.72,0.897436409476477,0.0921970156652363
"22",21,10,5.52,33.6,0.2,36,3,6.04509288888889,2.03592418226274,-0.395490711111111,0.847318179116868,-0.583816437518241,5,7,0.00399429620184117,0.3,0.876487148024092,0.104092352717087
"23",22,10,6.42,32.22,0.2,36,4,6.82583466666667,1.66883628673414,-0.317416533333333,0.729512259304048,-0.562861698835851,5,7,0.00343895377008407,0.34,0.875523257915445,0.106739930140711
"24",23,10,7.66,32.38,0.2,36,5,8.06226088888889,1.54316490196439,-0.193773911111111,0.729168456269841,-0.527485069585475,5,7,0.00343733306703821,0.74,0.880441418184085,0.107276991772412
"25",24,10,8.18,33.04,0.2,36,6,8.54016577777778,1.46541227587527,-0.145983422222222,0.683325590946509,-0.533697375000923,5,7,0.00322122772744387,0.78,0.88030504672711,0.10503405186859
"26",25,10,6.46,26.72,0.25,16,3,6.94770488888889,1.77186274362981,-0.305229511111111,0.812323771427358,-0.541542495688325,5,7,0.00382933098196877,0.46,0.903848875226447,0.0905791031913449
"27",26,10,8.2,26.58,0.25,16,4,8.59480133333333,1.56863443731552,-0.140519866666667,0.717623697497718,-0.542516930378105,5,7,0.003382910552272,0.78,0.91305040372177,0.0852185066837043
"28",27,10,8.36,26.12,0.25,16,5,8.79826844444445,1.33775097555541,-0.120173155555555,0.752227263583491,-0.437692606973298,5,7,0.00354603332715524,0.9,0.912257561367154,0.0860478617874068
"29",28,10,8.78,26.76,0.25,16,6,9.12775511111112,1.29141775545634,-0.0872244888888885,0.667199988387251,-0.483358513874942,5,7,0.00314521090797474,0.88,0.912656177611294,0.0858554855018184
"30",29,10,7.4,28.84,0.25,25,3,7.82632711111111,1.40513718772307,-0.217367288888889,0.749959398132858,-0.466273183369293,5,7,0.0035353425068955,0.58,0.892281615957624,0.0978073512102368
"31",30,10,7.84,27.74,0.25,25,4,8.25524888888889,1.42463920857819,-0.174475111111111,0.737167600637134,-0.482558393592973,5,7,0.00347504139521023,0.76,0.895081353730838,0.096326110282176
"32",31,10,8.54,27.98,0.25,25,5,8.91700444444445,1.17345328600756,-0.108299555555555,0.689449145359614,-0.412461362049332,5,7,0.00325009443978035,0.8,0.899825800611147,0.0947711248968868
"33",32,10,8.84,28.52,0.25,25,6,9.19008933333333,1.09801498568687,-0.0809910666666667,0.6579342323637,-0.400796673141831,5,7,0.00310153171519425,0.92,0.904115455159319,0.0893300107311442
