"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","nsample_pa","nsample_cap","N_naive_se","credible_proportion"
"532",531,10,10,24.72,0.55,81,5,10.0988471111111,0.0934977101957132,0.00988471111111161,0.355121352881239,2.79818235267885,8,10,0.00167405811177644,1
"533",532,10,10,26.54,0.55,81,6,10.0911297777778,0.0789353260356057,0.0091129777777782,0.36379302753289,3.60874801947093,8,10,0.00171493677811261,1
"534",533,10,9.96,33.24,0.55,81,3,10.1110595555556,0.217475709590355,0.0111059555555554,0.420076502901211,0.931601941625951,10,10,0.00198025962545718,1
"535",534,10,10,33.04,0.55,81,4,10.1042595555556,0.105274469180443,0.0104259555555558,0.358244989877997,2.40296173105331,10,10,0.00168878307779225,1
"536",535,10,9.98,32.58,0.55,81,5,10.1033231111111,0.162992934458821,0.0103323111111109,0.401839775490235,1.46538156285393,10,10,0.0018942908679975,1
"537",536,10,10,32.66,0.55,81,6,10.0985604444444,0.0745277875490466,0.0098560444444444,0.391853813827884,4.25782163558801,10,10,0.00184721659327672,1
"538",537,10,9.94,38.46,0.55,81,3,10.0737102222222,0.246359818171048,0.00737102222222205,0.394909681449145,0.602979269837578,12,10,0.00186162209139273,0.98
"539",538,10,10,38.82,0.55,81,4,10.1161306666667,0.0965238308381765,0.0116130666666666,0.396920597620279,3.11215131199798,12,10,0.00187110164113277,1
"540",539,10,10,39.1,0.55,81,5,10.105804,0.0828596938961452,0.0105804,0.39052562692682,3.71309521630985,12,10,0.00184095546018055,1
"541",540,10,10,39.56,0.55,81,6,10.1158173333333,0.0648909944817155,0.0115817333333326,0.438849687165768,5.76287504407756,12,10,0.00206875726477673,1
"542",541,10,9.98,47.54,0.55,81,3,10.1018128888889,0.138612312526618,0.0101812888888884,0.374891124510688,1.70460190496207,14,10,0.00176725370898772,1
"543",542,10,10,44.92,0.55,81,4,10.1980346666667,0.155947616852634,0.0198034666666668,0.511322305433525,2.2788080751289,14,10,0.00241039646362656,1
"544",543,10,10,46.4,0.55,81,5,10.1379977777778,0.115268915573345,0.0137997777777774,0.440221608913267,2.81908345995634,14,10,0.00207522456591615,1
"545",544,10,10,45.64,0.55,81,6,10.1466613333333,0.115504962983727,0.0146661333333334,0.479685742095407,3.15294485798836,14,10,0.00226126027382776,1
"546",545,10,10,27.28,0.55,81,3,10.1185173333333,0.116716014359046,0.0118517333333332,0.356671123404865,2.05588847737433,8,12,0.00168136380008669,1
"547",546,10,10,27.34,0.55,81,4,10.1089306666667,0.099220367938021,0.0108930666666664,0.363331844597662,2.66186753938084,8,12,0.00171276274090682,1
"548",547,10,10,25.38,0.55,81,5,10.0805604444444,0.0652065093721471,0.0080560444444442,0.332594875049448,4.10063915783714,8,12,0.00156786727690238,1
"549",548,10,10,26.4,0.55,81,6,10.077016,0.0571171804816438,0.00770160000000041,0.340013518880393,4.95291147100066,8,12,0.00160283909930284,1
"550",549,10,9.96,34.06,0.55,81,3,10.0891493333333,0.262856845603697,0.00891493333333316,0.388921355548213,0.479593786705407,10,12,0.00183339285237604,1
"551",550,10,10,32.84,0.55,81,4,10.1195951111111,0.112283053429619,0.0119595111111104,0.376841759043682,2.3561766226806,10,12,0.00177644908836036,1
"552",551,10,10,32.46,0.55,81,5,10.1019608888889,0.0813680231041325,0.0101960888888892,0.38998531799949,3.79285723213895,10,12,0.00183840841947088,1
"553",552,10,10,31.78,0.55,81,6,10.0976662222222,0.0754472847678164,0.0097666222222224,0.389805034927919,4.16658798427957,10,12,0.00183755855692127,1
"554",553,10,9.98,38.58,0.55,81,3,10.1109413333333,0.163739462608187,0.0110941333333339,0.39357448403225,1.40366297631034,12,12,0.001855327910408,1
"555",554,10,10,39.32,0.55,81,4,10.1240582222222,0.121578497910794,0.0124058222222222,0.393886493907343,2.23977101770371,12,12,0.0018567987390645,1
"556",555,10,10,40.02,0.55,81,5,10.132084,0.113987096137962,0.0132083999999998,0.420299235891498,2.68725276923273,12,12,0.00198130959884269,1
"557",556,10,10,36.86,0.55,81,6,10.1231377777778,0.149854930908066,0.0123137777777778,0.410514580354233,1.73941323029322,12,12,0.00193518429029619,1
"558",557,10,10,44.8,0.55,81,3,10.1736222222222,0.138502064277109,0.0173622222222226,0.450980850242838,2.2561308930424,14,12,0.00212594411594657,1
"559",558,10,10,43.86,0.55,81,4,10.1324893333333,0.117010625199056,0.0132489333333336,0.401830728891211,2.43413880754524,14,12,0.00189424822192072,1
"560",559,10,10,45.58,0.55,81,5,10.1291688888889,0.116506097991631,0.0129168888888896,0.425607281582446,2.65309017226735,14,12,0.00200633196619546,1
"561",560,10,10,45.3,0.55,81,6,10.1100857777778,0.0857697445523396,0.0110085777777776,0.415904181814221,3.84907800512828,14,12,0.00196059111523119,1
"562",561,10,9.98,25.78,0.55,81,3,10.0628457777778,0.162694012447508,0.00628457777777817,0.291360787622508,0.790851324147613,8,14,0.00137348792466486,1
"563",562,10,10,25.58,0.55,81,4,10.0889853333333,0.0818034268671849,0.008898533333333,0.328698999250099,3.01815684059019,8,14,0.00154950194225984,1
"564",563,10,10,27.78,0.55,81,5,10.0940684444445,0.0832760229646362,0.00940684444444519,0.354663881848845,3.25889552866202,8,14,0.00167190157264842,1
"565",564,10,10,26.18,0.55,81,6,10.1194724444445,0.122348695628293,0.0119472444444452,0.404402335501426,2.30532608806913,8,14,0.00190637089173824,1
"566",565,10,9.98,31.8,0.55,81,3,10.091908,0.18522499604179,0.00919079999999945,0.348123712892997,0.87946400503339,10,14,0.00164107092052318,1
"567",566,10,10,33.2,0.55,81,4,10.1098231111111,0.0854236961276938,0.0109823111111108,0.377809960607993,3.42277702481091,10,14,0.0017810132343049,1
"568",567,10,10,33.04,0.55,81,5,10.1002404444444,0.0868561039910472,0.010024044444444,0.364873719831135,3.2008989934518,10,14,0.00172003121046237,1
"569",568,10,10,33.64,0.55,81,6,10.0870404444444,0.0727823295649496,0.00870404444444421,0.355527698898134,3.88480790630462,10,14,0.00167597364527013,1
"570",569,10,10,39.2,0.55,81,3,10.1443142222222,0.135371193614706,0.0144314222222224,0.39859758324013,1.94447860432273,12,14,0.00187900702715777,1
"571",570,10,10,39.56,0.55,81,4,10.1269635555556,0.117428758760049,0.0126963555555552,0.399052190267702,2.3982492404873,12,14,0.00188115006523758,1
"572",571,10,10,38.92,0.55,81,5,10.1133133333333,0.0784980838688179,0.011331333333333,0.402935666965114,4.13306372724307,12,14,0.00189945694995304,1
"573",572,10,10,37.5,0.55,81,6,10.0989524444444,0.102019599538755,0.0098952444444444,0.378402397392292,2.709114710341,12,14,0.00178380600808891,1
"574",573,10,9.98,48.24,0.55,81,3,10.1330195555556,0.193900277369376,0.0133019555555556,0.41978169120885,1.16493600166015,14,14,0.00197886986981157,1
"575",574,10,10,44.8,0.55,81,4,10.1255835555556,0.106355505978779,0.0125583555555558,0.395374427593392,2.71747963544341,14,14,0.00186381292572691,1
"576",575,10,10,46.76,0.55,81,5,10.1311804444444,0.130682497586366,0.0131180444444438,0.416390577752661,2.18627655151353,14,14,0.00196288400767394,1
"577",576,10,10,45.18,0.55,81,6,10.1179951111111,0.101990420142067,0.011799511111111,0.422190578060081,3.13951209801855,14,14,0.00199022547132901,1
"578",577,100,37.94,309.28,0.15,49,3,38.5259555555556,7.55515527511787,-0.614740444444444,0.806314204914472,-0.89327628942717,8,8,0.00380100161374708,0
"579",578,100,48.16,307.16,0.15,49,4,48.6344097777778,8.41978735565574,-0.513655902222222,0.715002467487334,-0.915080697731986,8,8,0.00337055395550272,0
"580",579,100,52.26,308.42,0.15,49,5,52.6867155555556,9.28343571013814,-0.473132844444444,0.674978853020264,-0.92729212824912,8,8,0.00318188082752098,0
"581",580,100,61.44,309.56,0.15,49,6,61.8549271111111,7.94434022828498,-0.381450728888889,0.660749781905888,-0.916827607715823,8,8,0.00311480434302124,0
"582",581,100,39.14,385.38,0.15,49,3,39.6757733333333,7.98276575326144,-0.603242266666667,0.766430537303253,-0.903989348930836,10,8,0.00361298820157053,0
