"","sim","N_actual","N_mean","N_bias","n_captured","tau","nsites","ntraps","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"49",3,10,10.0862222222222,0.00862222222222009,10,0.55,16,3,19,10,11,1,0.342331060308346,0.00161376409436541,5005328
"50",3,10,10.0149777777778,0.00149777777777995,10,0.55,16,3,14,10,10,1,0.138397505729561,0.000652412098671176,215507
"51",3,10,10.0253333333333,0.00253333333333003,10,0.55,16,3,20,10,10,1,0.19316989152367,0.000910611601449713,1188309
"52",3,10,10.0049111111111,0.000491111111110065,10,0.55,16,3,15,10,10,1,0.0739249032368154,0.000348485335848743,5592245
"53",3,10,10.0251111111111,0.00251111111110998,10,0.55,16,3,17,10,10,1,0.182431583871704,0.000859990733721896,8001999
"54",3,10,10.2984222222222,0.02984222222222,10,0.55,16,3,18,10,12,1,0.628470505857134,0.0029626383764488,3177945
"55",3,10,10.1239777777778,0.01239777777778,10,0.55,16,3,15,10,11,1,0.426341275523129,0.00200979204681418,3739254
"56",3,10,10.0124444444444,0.00124444444443998,10,0.55,16,3,12,10,10,1,0.126407374075982,0.000595890076007408,7466248
"57",3,10,10.2858888888889,0.02858888888889,10,0.55,16,3,20,10,12,1,0.668555431273015,0.00315160052701497,4261358
"58",3,10,10.3161333333333,0.0316133333333299,10,0.55,16,3,17,10,12,1,0.666452154796404,0.00314168558661949,1653806
"59",3,10,10.6773777777778,0.0677377777777799,10,0.55,16,3,9,10,13,1,0.969158969265913,0.00456865919477128,2753575
"60",3,10,10.0053777777778,0.000537777777780057,10,0.55,16,3,16,10,10,1,0.0746404937730911,0.0003518586619871,5537612
"61",4,25,10.7364444444444,-0.570542222222224,10,0.15,16,3,50,10,13,0,1.03015955980755,0.00485621873629378,2923544
"62",4,25,10.2678,-0.589288,10,0.15,16,3,53,10,12,0,0.569055084693319,0.00268255139503554,8273563
"63",4,25,12.3921555555556,-0.504313777777776,12,0.15,16,3,62,12,14,0,0.714036114223356,0.00336599852252951,7288059
"64",4,25,6.816,-0.72736,6,0.15,16,3,56,6,10,0,1.09580696589729,0.00516568357638288,5376488
"65",4,25,8.73051111111111,-0.650779555555556,8,0.15,16,3,54,8,11,0,1.02069638608547,0.00481160890755758,9356774
"66",4,25,5.90335555555556,-0.763865777777778,5,0.15,16,3,63,5,9,0,1.16828514595152,0.00550734899374557,9183607
"67",4,25,7.7768,-0.688928,7,0.15,16,3,52,7,11,0,1.07088048907867,0.00504817903778597,7323120
"68",4,25,10.5914888888889,-0.576340444444444,10,0.15,16,3,57,10,13,0,0.873970557207854,0.00411993671706039,1568493
"69",4,25,10.1842,-0.592632,10,0.15,16,3,52,10,12,0,0.476197740539884,0.00224481767680976,5064832
"70",4,25,16.4525777777778,-0.341896888888888,16,0.15,16,3,63,16,18,0,0.756973124226989,0.00356840552877914,6267008
"71",4,25,17.4152222222222,-0.303391111111112,17,0.15,16,3,49,17,19,0,0.708379599735043,0.00333933345751241,7012917
"72",4,25,9.2068,-0.631728,9,0.15,16,3,54,9,11,0,0.52645135579927,0.00248171549100344,4254105
"73",4,25,12.7015111111111,-0.491939555555556,12,0.15,16,3,55,12,15,0,0.960296475212673,0.00452688099714947,4793576
"74",4,25,6.18013333333333,-0.752794666666667,5,0.15,16,3,53,5,9,0,1.28768092426452,0.00607018609034668,5586060
"75",4,25,9.26757777777778,-0.629296888888889,9,0.15,16,3,59,9,11,0,0.600175089044213,0.00282925250241602,3970336
"76",4,25,6.94044444444444,-0.722382222222222,6,0.15,16,3,55,6,10,0,1.1590200308742,0.00546367282241457,398686
"77",4,25,6.92668888888889,-0.722932444444444,6,0.15,16,3,52,6,10,0,1.1353358351108,0.00535202445287291,7786208
"78",4,25,8.54973333333333,-0.658010666666667,8,0.15,16,3,63,8,11,0,0.879184846775628,0.00414451711381001,336584
"79",4,25,5.79204444444444,-0.768318222222222,5,0.15,16,3,56,5,9,0,1.10474906533976,0.0052078370374083,1869461
"80",4,25,11.6478888888889,-0.534084444444444,11,0.15,16,3,57,11,14,0,0.916910757438398,0.0043223587621839,8427441
"81",5,25,23.2918888888889,-0.068324444444444,23,0.35,16,3,47,23,25,1,0.591972031533971,0.00279058291846965,5982492
"82",5,25,20.2239777777778,-0.191040888888888,20,0.35,16,3,46,20,22,0,0.524717983655986,0.00247354429635786,8083031
"83",5,25,22.4065111111111,-0.103739555555556,22,0.35,16,3,44,22,24,0,0.69187620821345,0.00326153572379577,4643584
"84",5,25,20.1595333333333,-0.193618666666668,20,0.35,16,3,42,20,21,0,0.430604113617722,0.00202988725830609,7602487
"85",5,25,22.2876,-0.108496,22,0.35,16,3,45,22,24,0,0.571123784644068,0.00269230334012497,912724
"86",5,25,25.3742888888889,0.0149715555555559,25,0.35,16,3,41,25,27,1,0.666488250309573,0.00314185574250038,3866642
