"","sim","N_actual","n_captured","pa_detects","tau","nsites","ntraps","N_mean","N_mean_sd","N_bias","N_sd","sd_bias","N_naive_se","credible_proportion"
"182",181,50,33.84,69.32,0.25,16,3,34.9392591111111,6.20496804951909,-0.301214817777778,1.15959176818784,-0.813118817222965,0.00546636801795814,0
"183",182,50,40,69.18,0.25,16,4,40.9735311111111,5.03388504391879,-0.180529377777778,1.07933772091635,-0.785585544465254,0.00508804681100255,0.08
"184",183,50,41.66,68.12,0.25,16,5,42.5396724444444,5.21030337673515,-0.149206551111111,1.0245989970407,-0.803351374582965,0.00483000599202945,0.18
"185",184,50,35.64,90.98,0.25,25,3,36.6743546666667,5.29240105831513,-0.266512906666667,1.11614719444768,-0.789103814667626,0.00526156833330862,0
"186",185,50,39.7,90.02,0.25,25,4,40.6456155555556,5.1566446577385,-0.187087688888889,1.06590727324353,-0.793294410611765,0.00502473507351041,0.06
"187",186,50,42.44,90.62,0.25,25,5,43.1954591111111,5.59770274882202,-0.136090817777778,0.943562397979727,-0.831437566387695,0.0044479958005607,0.28
"188",187,50,35.08,104.76,0.25,36,3,36.2212177777778,6.24633472445134,-0.275575644444444,1.17915012927731,-0.811225273493347,0.00555856701632653,0
"189",188,50,38.7,103.78,0.25,36,4,39.5720493333333,5.94287152238169,-0.208559013333334,1.01579795490987,-0.829072873091024,0.00478851748154799,0.06
"190",189,50,42.78,104.3,0.25,36,5,43.5552035555556,4.39889210686142,-0.128895928888889,0.948995041998446,-0.784264987877698,0.00447360553006342,0.24
"191",190,50,40.92,66.54,0.3,16,3,41.8540008888889,5.60564191641565,-0.162919982222222,1.05001459330654,-0.812686110000773,0.00494981626181257,0.16
"192",191,50,44.64,66.94,0.3,16,4,45.3453346666667,3.88283023684158,-0.0930933066666666,0.903162701348259,-0.767395779300689,0.0042575498042541,0.36
"193",192,50,45.34,66.48,0.3,16,5,45.9565742222222,4.4873689163934,-0.0808685155555556,0.825985292092824,-0.815931048353233,0.00389373200799458,0.4
"194",193,50,40.2,85.08,0.3,25,3,41.2111542222222,5.50957727070395,-0.175776915555555,1.10494545849431,-0.799450047761443,0.00520876284361739,0.12
"195",194,50,43.3,85.88,0.3,25,4,44.0904608888889,4.44023161116993,-0.118190782222222,0.953637972432854,-0.785227876394136,0.00449549251402841,0.24
"196",195,50,46.22,87.12,0.3,25,5,46.9202484444444,3.13913215648318,-0.0615950311111111,0.89631665263088,-0.714469921000383,0.00422527722110482,0.6
"197",196,50,40.32,97.74,0.3,36,3,41.2150208888889,6.16405216260283,-0.175699582222222,1.02709490093288,-0.83337342484474,0.00484177179581177,0.16
"198",197,50,44,98.92,0.3,36,4,44.8357848888889,3.90231299434309,-0.103284302222222,0.991314863137935,-0.745967362286168,0.00467310308010565,0.26
"199",198,50,47.14,99.04,0.3,36,5,47.7135137777778,2.64770361200127,-0.0457297244444444,0.794126548130183,-0.700069696422727,0.00374354844868745,0.68
"200",199,50,44.96,65,0.35,16,3,45.7167853333333,4.16812436935486,-0.0856642933333333,0.92485622960278,-0.778112132065309,0.00435981407716499,0.52
"201",200,50,47.2,64.02,0.35,16,4,47.702324,2.8863746590128,-0.0459535199999999,0.725435299299127,-0.748669045082581,0.00341973479631004,0.62
"202",201,50,48.22,64.88,0.35,16,5,48.6695866666667,2.43153665982079,-0.0266082666666666,0.677687735785582,-0.721292404517755,0.00319465062333962,0.76
"203",202,50,43.52,79.34,0.35,25,3,44.2762484444444,4.83413495753669,-0.114475031111111,0.936301623953302,-0.806314545998855,0.00441376818355571,0.36
"204",203,50,46.54,80.16,0.35,25,4,47.1396764444444,3.33292298982712,-0.0572064711111112,0.819715367053646,-0.754055113317765,0.00386417529790969,0.56
"205",204,50,48.26,80.04,0.35,25,5,48.698196,2.24291641637128,-0.02603608,0.671705659693024,-0.700521314664169,0.00316645084620214,0.78
"206",205,50,45.04,92.82,0.35,36,3,45.7981982222222,3.83638570459404,-0.0840360355555556,0.927023888795371,-0.758360091977909,0.0043700325205942,0.46
"207",206,50,47.48,93.7,0.35,36,4,48.0209302222222,2.41134001399203,-0.0395813955555557,0.761280283179556,-0.684291606010701,0.00358870967079919,0.68
"208",207,50,48.3,90.68,0.35,36,5,48.7375991111111,2.18298144685159,-0.0252480177777778,0.683342837271112,-0.686968096656679,0.00322130902739772,0.78
"209",208,50,46.78,61.36,0.4,16,3,47.3682915555556,3.57712431990746,-0.0526341688888889,0.806835079817326,-0.77444589349967,0.00380345704158681,0.66
"210",209,50,48.5,59.86,0.4,16,4,48.930596,2.10285886038524,-0.0213880800000001,0.673609362204989,-0.679669722540682,0.00317542498590596,0.9
"211",210,50,49.36,61.08,0.4,16,5,49.6798555555556,1.14011352374642,-0.00640288888888886,0.551953108078367,-0.515878816817607,0.00260193190412803,0.96
"212",211,50,47.26,75.24,0.4,25,3,47.8788315555556,2.97836971200649,-0.0424233688888887,0.831394555401315,-0.720855825235607,0.0039192315197723,0.72
"213",212,50,48.76,76.82,0.4,25,4,49.1863377777778,1.82725701059166,-0.0162732444444443,0.653084439138185,-0.64258753128181,0.00307866957068016,0.88
"214",213,50,49.22,74.7,0.4,25,5,49.4573626666667,1.29295243615748,-0.0108527466666666,0.459523543320057,-0.644593621180906,0.00216621475730988,0.92
"215",214,50,46.92,85.96,0.4,36,3,47.5384973333333,2.83343485911524,-0.0492300533333334,0.821871807405532,-0.709937991070609,0.00387434085521664,0.58
"216",215,50,48.66,85,0.4,36,4,49.0236746666667,1.54530570156774,-0.0195265066666668,0.609188613234446,-0.605781165101239,0.00287174266293137,0.84
"217",216,50,49.36,84.04,0.4,36,5,49.647256,0.872652263386724,-0.00705488000000004,0.521176199152544,-0.402767607420299,0.00245684816409196,0.94
"218",217,50,48.68,57.58,0.45,16,3,49.1494804444444,1.67688513966459,-0.017010391111111,0.70828812773867,-0.577616790211199,0.00333890225438625,0.92
"219",218,50,49.58,58.48,0.45,16,4,49.8317724444444,0.735252620652635,-0.00336455111111104,0.491028802696867,-0.332163138349629,0.00231473197429911,0.98
"220",219,50,49.74,58.22,0.45,16,5,49.9345146666667,0.474206864663014,-0.00130970666666665,0.432549559501423,-0.0878462718821957,0.0020390581781514,0.98
"221",220,50,48.72,70.14,0.45,25,3,49.0974182222222,1.50849207900641,-0.0180516355555555,0.635350250779149,-0.578817642053758,0.00299506980503007,0.8
"222",221,50,49.14,69.44,0.45,25,4,49.4098666666667,1.56305288906312,-0.0118026666666666,0.505763675371239,-0.67642574418938,0.0023841928302189,0.92
"223",222,50,49.7,71.96,0.45,25,5,49.9093973333333,0.770462695399045,-0.00181205333333328,0.433568410091172,-0.437262293579815,0.00204386108589159,0.96
"224",223,50,47.94,79.62,0.45,36,3,48.4732542222222,2.0905208002383,-0.0305349155555554,0.740733503488654,-0.645670349989239,0.00349185122245931,0.82
"225",224,50,49.12,77.44,0.45,36,4,49.4421568888889,1.12021501648239,-0.0111568622222223,0.547153557923241,-0.511563807061461,0.00257930660771914,0.9
"226",225,50,49.72,78.08,0.45,36,5,49.924268,0.624984869709082,-0.00151463999999996,0.431292954339603,-0.309914567147263,0.00203313448461009,0.96
"227",226,50,48.56,54.14,0.5,16,3,48.9506964444445,2.20542102674696,-0.020986071111111,0.613747163701661,-0.721709752351935,0.00289323187591637,0.82
"228",227,50,49.84,54.82,0.5,16,4,50.0120817777778,0.441079909185996,0.000241635555555482,0.38581304990059,-0.125298972214355,0.00181874015903314,0.98
"229",228,50,49.9,54.98,0.5,16,5,50.0172808888889,0.292489755422576,0.000345617777777755,0.303425159643558,0.0373873067970629,0.00143035991977714,1
"230",229,50,49.2,66.18,0.5,25,3,49.5336897777778,1.08689053558807,-0.0093262044444446,0.561804876779121,-0.483108134274855,0.00264837358716126,0.92
"231",230,50,49.82,64.5,0.5,25,4,50.0479862222222,0.392767037231615,0.000959724444444444,0.45104376819491,0.14837480093557,0.00212624071401703,0.98
"232",231,50,49.86,63.86,0.5,25,5,49.9815595555556,0.417653672348878,-0.00036880888888891,0.332062776818382,-0.204932701894213,0.00156535894178609,0.98
"233",232,50,49.2,74.06,0.5,36,3,49.5540724444444,1.09479129832796,-0.00891855111111112,0.600743642080322,-0.451271084271662,0.00283193268713133,0.96
"234",233,50,49.52,74.7,0.5,36,4,49.7738688888889,0.901229779663366,-0.00452262222222221,0.486797035630324,-0.459852474235642,0.00229478323303808,0.98
"235",234,50,49.94,73.46,0.5,36,5,50.0877555555556,0.283617416428336,0.00175511111111113,0.345742081358113,0.219043899743984,0.00162984380179915,1
"236",235,50,49.78,52.32,0.55,16,3,49.9893782222222,0.362733212195721,-0.000212435555555587,0.432270761438524,0.191704390182178,0.00203774391147902,1
"237",236,50,49.88,52.32,0.55,16,4,50.0194262222222,0.297531164190747,0.000388524444444235,0.325122680624224,0.092734878742948,0.00153264301457958,1
"238",237,50,49.98,51.72,0.55,16,5,50.0663373333333,0.175898112511716,0.00132674666666667,0.261500913555713,0.48666128261209,0.00123272712841148,1
"239",238,50,49.76,62.06,0.55,25,3,49.9552293333333,0.59125467542821,-0.00089541333333332,0.412279380508418,-0.302704236190896,0.00194350363800594,0.98
"240",239,50,49.86,60.24,0.55,25,4,49.987924,0.375966899956943,-0.000241520000000042,0.317492799868549,-0.155529915253419,0.00149667541176636,1
"241",240,50,50,62.8,0.55,25,5,50.0781586666667,0.155283262297356,0.00156317333333345,0.218701084890463,0.408400890442825,0.00103096680119268,1
"242",241,50,49.66,65.46,0.55,36,3,49.8273248888889,0.546614308092864,-0.00345350222222232,0.377721116652937,-0.308980553453119,0.00178059441988431,0.96
"243",242,50,49.92,66,0.55,36,4,50.0509973333333,0.325906840315103,0.00101994666666676,0.326116898972477,0.000644535896119598,0.00153732980481978,1
"244",243,50,49.94,67.12,0.55,36,5,50.0151884444444,0.20473075605285,0.000303768888888916,0.251128690545077,0.226629038971801,0.00118383200023281,1
"245",244,75,29.14,77.7,0.15,16,3,30.5296422222222,7.59358665690949,-0.592938103703704,1.3221976558312,-0.825879690906257,0.00623289952338132,0
"246",245,75,34.56,77.86,0.15,16,4,35.948096,6.03385118846195,-0.520692053333333,1.30561277538968,-0.783618664993545,0.00615471764721221,0
"247",246,75,41.28,77.6,0.15,16,5,42.6679102222222,5.38420128785012,-0.43109453037037,1.29436170382331,-0.759600053076742,0.0061016795872109,0
"248",247,75,28.88,112.14,0.15,25,3,30.1432773333333,6.20170653138968,-0.598089635555555,1.25029140883524,-0.79839558635886,0.00589393022431121,0
"249",248,75,33.86,111.86,0.15,25,4,35.2167222222222,5.95706662458889,-0.530443703703704,1.2963642142989,-0.782382119255152,0.00611111951212215,0
"250",249,75,39.82,112.82,0.15,25,5,41.0706653333333,6.75842644739258,-0.452391128888889,1.23306427062425,-0.817551573547128,0.00581272071598169,0
"251",250,75,28.22,142.56,0.15,36,3,29.5902471111111,6.84813880475668,-0.605463371851852,1.31214912658586,-0.808393322040369,0.0061855303022458,0
"252",251,75,35.66,142.34,0.15,36,4,37.0713111111111,6.65850185449353,-0.505715851851852,1.31741078832085,-0.802146065720206,0.00621033401353326,0
"253",252,75,41.56,143.14,0.15,36,5,42.916576,5.46457354415768,-0.427778986666667,1.27640137856966,-0.766422508864522,0.00601701380201641,0
"254",253,75,40.06,76.62,0.2,16,3,41.2986564444444,6.8638619619297,-0.449351247407407,1.21886387558237,-0.822423020401229,0.00574577941178408,0
"255",254,75,48.42,77.24,0.2,16,4,49.5518564444444,6.79702735734616,-0.339308580740741,1.15374130965451,-0.830257957045362,0.005438788691945,0
"256",255,75,54.56,76.38,0.2,16,5,55.8113404444444,7.86814094927196,-0.255848794074074,1.20817039169597,-0.846447795040103,0.0056953698453135,0
"257",256,75,41.46,107.88,0.2,25,3,42.855384,6.64386505627161,-0.42859488,1.2982941018754,-0.804587526856848,0.00612021708940397,0
"258",257,75,47.58,108.88,0.2,25,4,48.8973591111111,8.06961305072415,-0.348035211851852,1.2461165632729,-0.845579142960136,0.00587424981359428,0
"259",258,75,54.04,108.84,0.2,25,5,55.2139982222222,8.22865154858217,-0.263813357037037,1.17223699188904,-0.857542030432554,0.00552597817414973,0
"260",259,75,41.26,136.86,0.2,36,3,42.5540671111111,7.43897430488793,-0.432612438518518,1.24465424953546,-0.832684695695529,0.00586735640052787,0
"261",260,75,49.76,136.62,0.2,36,4,51.0982395555556,8.23676664783153,-0.318690139259259,1.26121083255481,-0.846880349234266,0.00594540488136958,0
"262",261,75,53.94,137.26,0.2,36,5,55.20404,7.92724021923483,-0.263946133333333,1.21473227890439,-0.846764795148136,0.0057263028782632,0
"263",262,75,53.64,75.74,0.25,16,3,54.824936,8.3787188704753,-0.269000853333333,1.17347996105959,-0.859945180259638,0.00553183758701173,0
"264",263,75,59.8,75.54,0.25,16,4,60.8750613333333,7.32879142981636,-0.188332515555556,1.1105265897314,-0.848470706204934,0.00523507254858031,0.04
"265",264,75,63.86,75.56,0.25,16,5,64.8036613333333,6.12499103562499,-0.135951182222222,1.03611409717597,-0.830838267166502,0.00488428869464069,0.12
"266",265,75,52.78,105.96,0.25,25,3,53.9676173333333,9.29313934150053,-0.280431768888889,1.17695096433857,-0.873352704496462,0.00554820005338567,0
"267",266,75,57.88,106.04,0.25,25,4,58.9305755555555,7.99831418490664,-0.214258992592593,1.10371876874652,-0.862006074876465,0.00520298017269018,0
"268",267,75,64.82,104.1,0.25,25,5,65.6824551111111,7.69061294617901,-0.124233931851852,0.983223563176548,-0.872152769869266,0.00463496032629692,0.12
"269",268,75,50.64,130.7,0.25,36,3,51.7817537777778,6.46331224609982,-0.309576616296296,1.15779536513512,-0.820866558654385,0.00545789969275597,0
"270",269,75,58.28,131.62,0.25,36,4,59.3953622222222,8.13468617693042,-0.208061837037037,1.13523477728859,-0.860445166218206,0.00535154806173039,0
"271",270,75,64.4,131.2,0.25,36,5,65.3352755555556,5.28970494524982,-0.128862992592593,1.02586432771982,-0.806063979307381,0.00483597081805375,0.1
"272",271,75,59.26,74.24,0.3,16,3,60.321728,8.98319795753041,-0.195710293333333,1.10793920403431,-0.876665391403787,0.00522287549543393,0.04
"273",272,75,65.66,74.3,0.3,16,4,66.5861497777778,6.17249449769114,-0.11218466962963,1.03151776190123,-0.83288478227286,0.00486262136236487,0.18
"274",273,75,69.74,74.88,0.3,16,5,70.4281613333333,4.61752932631307,-0.0609578488888889,0.869748353447629,-0.811642050979221,0.00410003305765769,0.42
"275",274,75,61.02,102.32,0.3,25,3,62.1502648888889,7.28675950166387,-0.171329801481481,1.13923432037755,-0.843656934180767,0.00537040208866278,0.06
"276",275,75,65.86,101.72,0.3,25,4,66.7055911111111,5.56260353200193,-0.110592118518519,0.979648072304876,-0.823886770525903,0.00461810530068738,0.16
"277",276,75,69.32,101.74,0.3,25,5,70.0571155555556,5.40519999359165,-0.0659051259259259,0.890761949849516,-0.835202776787983,0.00419909210107696,0.48
"278",277,75,61.14,125,0.3,36,3,62.1062275555556,8.72979030599867,-0.171916965925926,1.04986286515497,-0.879737905682161,0.00494910100844678,0.04
"279",278,75,65.58,125.08,0.3,36,4,66.4513306666667,6.3299749184369,-0.113982257777778,0.984859449623855,-0.84441337251506,0.00464267196896453,0.16
"280",279,75,69.88,123.02,0.3,36,5,70.5618488888889,3.9472013988807,-0.059175348148148,0.863111162415277,-0.781335920011574,0.00406874503907764,0.38
"281",280,75,66.88,72.12,0.35,16,3,67.823352,5.89680597875734,-0.09568864,1.02787851971847,-0.825688936786914,0.00484546581019281,0.2
"282",281,75,70.32,72.36,0.35,16,4,70.9319066666667,4.51871435203348,-0.0542412444444444,0.814764147673208,-0.819691158989381,0.00384083502591602,0.44
"283",282,75,71.98,72.46,0.35,16,5,72.5253706666667,3.29388140953257,-0.0329950577777777,0.751615437290236,-0.771814663662437,0.00354314915034945,0.64
"284",283,75,66.68,97.86,0.35,25,3,67.4879631111111,6.57036926870534,-0.100160491851852,0.94280865853881,-0.85650598619633,0.00444444263876123,0.26
"285",284,75,70.44,96.58,0.35,25,4,71.0735768888889,4.38672874050823,-0.0523523081481482,0.803691346428821,-0.816790279506613,0.00378863734027178,0.46
"286",285,75,72.16,98.3,0.35,25,5,72.6321262222222,3.14681469516285,-0.0315716503703703,0.675617162308308,-0.785301256109285,0.00318488984636144,0.6
"287",286,75,66.76,118.28,0.35,36,3,67.5978217777778,6.25967757428837,-0.0986957096296297,0.969095069692209,-0.845184506998768,0.00456835796929207,0.22
"288",287,75,70.06,119.4,0.35,36,4,70.7385124444444,4.31309297332802,-0.0568198340740741,0.84332178321299,-0.804474007764717,0.00397545701088158,0.48
"289",288,75,72.54,118.36,0.35,36,5,73.0349773333333,2.31910938294593,-0.0262003022222222,0.70049104126811,-0.697948252713166,0.00330214643627404,0.68
"290",289,75,70.58,71.36,0.4,16,3,71.2412186666667,4.2867051784701,-0.0501170844444445,0.825178347979928,-0.807502892402218,0.00388992803696613,0.52
"291",290,75,73,70.52,0.4,16,4,73.4258111111111,2.57242369989791,-0.0209891851851852,0.652902026483217,-0.746191878690463,0.00307780966917814,0.74
"292",291,75,73,70.56,0.4,16,5,73.3992395555556,2.61684657933919,-0.0213434725925926,0.604749397525126,-0.76890147007478,0.00285081599938997,0.74
"293",292,75,69.98,95.38,0.4,25,3,70.7044142222222,3.84165523982871,-0.057274477037037,0.888680734879037,-0.768672439508481,0.00418928115961874,0.5
"294",293,75,72.36,92.92,0.4,25,4,72.8415284444444,3.22184401213411,-0.0287796207407407,0.693046093127823,-0.784891481239416,0.00326705061417018,0.64
"295",294,75,73.78,93.66,0.4,25,5,74.0775417777778,2.39037835037402,-0.012299442962963,0.51314025869634,-0.785330946201028,0.00241896637749334,0.84
"296",295,75,70.62,109.74,0.4,36,3,71.19244,5.03886962599803,-0.0507674666666666,0.770609111311395,-0.847067066920041,0.00363268618834951,0.48
"297",296,75,72.38,111.86,0.4,36,4,72.780056,3.06720556883237,-0.0295992533333333,0.637470936163586,-0.792165565085923,0.00300506681180406,0.64
"298",297,75,74.1,112.06,0.4,36,5,74.3676053333333,1.18844823997481,-0.00843192888888898,0.484020262338369,-0.592729202620866,0.00228169339820768,0.86
"299",298,75,71.92,68.28,0.45,16,3,72.5214635555556,2.52718729191675,-0.0330471525925927,0.780757402767113,-0.691056770796379,0.00368052569305481,0.58
"300",299,75,74.04,68.4,0.45,16,4,74.3637648888889,1.40928524410461,-0.0084831348148148,0.540079416529847,-0.616770686566731,0.00254595878538353,0.88
"301",300,75,74.52,69.12,0.45,16,5,74.6946386666667,1.02231438000047,-0.00407148444444452,0.377321435507521,-0.630914479059419,0.00177871030489607,0.92
"302",301,75,72.56,88.22,0.45,25,3,73.0791244444444,3.14593494679137,-0.0256116740740741,0.72194594317549,-0.770514662449767,0.00340328581379671,0.68
"303",302,75,74.08,89,0.45,25,4,74.3543395555556,1.35827212239632,-0.0086088059259259,0.502714549421068,-0.629886720685869,0.00236981911264518,0.9
"304",303,75,74.54,88.7,0.45,25,5,74.754192,0.874227651756219,-0.00327743999999998,0.440613896511894,-0.495996385350253,0.00207707382739059,0.96
"305",304,75,71.92,104.52,0.45,36,3,72.4456204444444,3.42156594220504,-0.0340583940740741,0.73652988398301,-0.784738948065297,0.00347203517007285,0.64
"306",305,75,74,103.56,0.45,36,4,74.2926733333333,1.57534953832674,-0.00943102222222217,0.497682813648801,-0.68408102358197,0.00234609928274045,0.88
"307",306,75,74.76,105.28,0.45,36,5,74.8704391111111,0.575971265914968,-0.00172747851851851,0.306101217087911,-0.468547764094361,0.00144297497554878,0.96
"308",307,75,74.02,66.04,0.5,16,3,74.3268515555556,1.37518922331372,-0.00897531259259256,0.539802997219234,-0.607470020803027,0.00254465573225696,0.88
"309",308,75,74.7,64.74,0.5,16,4,74.9270635555555,0.695847759259679,-0.000972485925925961,0.449318364335856,-0.354286396188311,0.00211810708222355,0.94
"310",309,75,74.94,65.8,0.5,16,5,75.04644,0.340336021496914,0.000619199999999948,0.293292490128476,-0.138226718293069,0.00138259405760623,0.98
"311",310,75,73.36,84.32,0.5,25,3,73.7292408888889,2.00699557515885,-0.0169434548148149,0.587211072704978,-0.707417853844296,0.00276813954331678,0.8
"312",311,75,74.5,84.94,0.5,25,4,74.6880288888889,0.798853666457883,-0.00415961481481475,0.394370802965715,-0.506329106913466,0.00185908179386027,0.98
"313",312,75,74.86,84.12,0.5,25,5,74.991248,0.351269208482057,-0.000116693333333395,0.319351141839012,-0.0908649715725824,0.00150543571982688,0.98
"314",313,75,74.16,97.36,0.5,36,3,74.4834408888889,1.19524593129124,-0.00688745481481486,0.544223095897459,-0.544676888956629,0.00256549227724953,0.86
"315",314,75,74.7,96.92,0.5,36,4,74.9171888888889,0.531740236997567,-0.00110414814814813,0.412094128931744,-0.225008565726371,0.00194263035369866,0.98
"316",315,75,74.94,97.04,0.5,36,5,75.0159528888889,0.224507814526294,0.000212705185185185,0.248698867202301,0.107751495096279,0.00117237770314773,1
"317",316,75,74.46,63.04,0.55,16,3,74.6910084444444,0.945663997116565,-0.00411988740740743,0.438994122029168,-0.535782134703541,0.0020694381372524,0.94
"318",317,75,74.82,62.6,0.55,16,4,74.910084,0.426110690088161,-0.00119888000000008,0.258700191905177,-0.39288030569791,0.00121952439993608,0.98
"319",318,75,74.96,63.08,0.55,16,5,75.023428,0.227843797204606,0.000312373333333354,0.208519579807441,-0.0848134451508103,0.000982970725946738,1
"320",319,75,74.18,79.88,0.55,25,3,74.4533724444445,1.11371182813653,-0.00728836740740732,0.502814935552773,-0.548523304817472,0.00237029233740828,0.9
"321",320,75,74.76,78.54,0.55,25,4,74.8905568888889,0.40761412604975,-0.00145924148148151,0.328973751681485,-0.192928481479237,0.00155079713764239,0.98
"322",321,75,74.94,79.24,0.55,25,5,75.0105231111111,0.223781314994102,0.000140308148148146,0.224396295538833,0.00274813178547466,0.00105781428165766,1
"323",322,75,74.7,89.14,0.55,36,3,74.9414413333333,0.625874303297036,-0.000780782222222088,0.445823478519748,-0.287678889880604,0.00210163203248992,0.96
"324",323,75,74.84,91.6,0.55,36,4,74.95948,0.401455348721222,-0.000540266666666544,0.306160614038392,-0.237373184804679,0.00144325497545856,1
"325",324,75,74.98,90.18,0.55,36,5,75.0313448888889,0.156230861228835,0.000417931851851866,0.185572096217047,0.187806908042552,0.000874795250893844,1
"326",325,100,37.12,79.26,0.15,16,3,38.5759346666667,6.91118152149011,-0.614240653333333,1.3302422485333,-0.80752317901115,0.00627082209705824,0
"327",326,100,45.88,79.28,0.15,16,4,47.342508,8.06008211556495,-0.52657492,1.31750021296038,-0.836540100451814,0.00621075556532669,0
"328",327,100,53.84,79.32,0.15,16,5,55.3480893333333,9.20760855862468,-0.446519106666667,1.33094303976156,-0.855451822122164,0.0062741256585896,0
"329",328,100,36.54,118.44,0.15,25,3,37.9707204444444,7.48207130647015,-0.620292795555555,1.32707016724886,-0.822633317313981,0.00625586876248021,0
"330",329,100,45.86,118.76,0.15,25,4,47.3054408888889,8.64595996771749,-0.526945591111111,1.31495225680924,-0.847911364184076,0.00619874438484245,0
"331",330,100,50.94,118.42,0.15,25,5,52.3828746666667,7.61590115474235,-0.476171253333333,1.29995891451892,-0.829309901992432,0.00612806509146823,0
"332",331,100,36.44,157.06,0.15,36,3,37.9074297777778,7.01801424385747,-0.620925702222222,1.34065568419523,-0.808969369737509,0.00631991150353826,0
"333",332,100,43.88,158.34,0.15,36,4,45.2731977777778,7.88851479515719,-0.547268022222222,1.28419060590961,-0.837207555635443,0.00605373257183164,0
"334",333,100,54.78,156.88,0.15,36,5,56.183644,7.34324444258685,-0.43816356,1.28671854474893,-0.824775199190339,0.00606564938980302,0
"335",334,100,54.9,78.48,0.2,16,3,56.4036586666667,8.84267735740715,-0.435963413333333,1.32946056775313,-0.849654068104216,0.00626713721852236,0
"336",335,100,63.92,78.78,0.2,16,4,65.3151617777778,7.79848667121768,-0.346848382222222,1.27216153505156,-0.836870717526928,0.00599702698799762,0
"337",336,100,72.04,78.64,0.2,16,5,73.3419857777778,8.84817321352625,-0.266580142222222,1.22014072253686,-0.862102527483116,0.00575179852605114,0
"338",337,100,56.48,116.16,0.2,25,3,57.899224,9.91906231996598,-0.42100776,1.28519371641851,-0.870431934495305,0.00605846128011911,0
"339",338,100,65.8,116.6,0.2,25,4,67.1717084444444,9.39374634968552,-0.328282915555555,1.25034209466356,-0.866896332078903,0.00589416915959729,0
"340",339,100,72.78,116.16,0.2,25,5,74.0629582222222,10.7292417065351,-0.259370417777778,1.20809075750191,-0.887402037297187,0.0056949944461226,0
"341",340,100,53.44,151.98,0.2,36,3,54.9734791111111,10.5765302195042,-0.450265208888889,1.34276335627783,-0.873043112588886,0.00632984716501908,0
"342",341,100,62.56,152.4,0.2,36,4,63.970976,9.44367574228162,-0.36029024,1.28064259872577,-0.864391510924923,0.00603700710556902,0
"343",342,100,72.98,153.22,0.2,36,5,74.2918524444444,9.50472859890652,-0.257081475555556,1.22589449847848,-0.871022671955145,0.00577892208595611,0
"344",343,100,71.06,78.18,0.25,16,3,72.3993853333333,10.4966282191582,-0.276006146666667,1.23373487004692,-0.882463697457138,0.00581588195197655,0
"345",344,100,80.12,77.92,0.25,16,4,81.2485995555556,8.23274068834135,-0.187514004444444,1.12607142994031,-0.863220345135493,0.00530835162807484,0
"346",345,100,84.5,78.4,0.25,16,5,85.4783057777778,8.40674028215102,-0.145216942222222,1.03862582895147,-0.876453203727888,0.00489612911178057,0.04
"347",346,100,67.16,113.72,0.25,25,3,68.4799564444444,10.8192624926702,-0.315200435555556,1.23427008759547,-0.885919203048114,0.00581840499169648,0
"348",347,100,75.8,113.6,0.25,25,4,77.0057875555556,9.53029165206433,-0.229942124444444,1.16828898402945,-0.877413092203072,0.00550736708661843,0
"349",348,100,85.04,114.04,0.25,25,5,86.0956951111111,8.79184508716832,-0.139043048888889,1.08435196207694,-0.876663891216697,0.00511168417051695,0.08
"350",349,100,69.18,146.56,0.25,36,3,70.5183617777778,11.4143581818362,-0.294816382222222,1.23827841536357,-0.891515721196304,0.00583730043000342,0
"351",350,100,79.6,147.14,0.25,36,4,80.7221351111111,8.0780667745174,-0.192778648888889,1.11806774241563,-0.861592163864921,0.00527062188325351,0
"352",351,100,86.7,148.04,0.25,36,5,87.6344528888889,7.73981309845594,-0.123655471111111,1.01318105592054,-0.869094893761367,0.00477618130140775,0.04
"353",352,100,81.96,77.7,0.3,16,3,83.1362324444444,9.51632234848771,-0.168637675555556,1.15146140428994,-0.879001429110592,0.00542804111498669,0.04
"354",353,100,85.38,77.14,0.3,16,4,86.2551168888889,9.3623373831778,-0.137448831111111,0.979830645829409,-0.895343373590663,0.0046189659605358,0.08
"355",354,100,92.92,77.36,0.3,16,5,93.6726666666667,6.47813262568224,-0.0632733333333332,0.899587565329743,-0.861134740933927,0.00424069645143838,0.3
"356",355,100,82.78,111.9,0.3,25,3,83.9834257777778,7.22738252085941,-0.160165742222222,1.16204542612903,-0.839216282966181,0.00547793467241763,0
"357",356,100,88.52,111.8,0.3,25,4,89.4068244444445,6.81937515864401,-0.105931755555556,0.982452880201268,-0.855932126133881,0.00463132729191047,0.04
"358",357,100,91.74,112.18,0.3,25,5,92.5765004444444,6.3214963731407,-0.0742349955555555,0.94264735296597,-0.850882244120052,0.00444368223699858,0.18
"359",358,100,81.36,142.7,0.3,36,3,82.5386364444444,11.3001778406292,-0.174613635555556,1.15205609951886,-0.898049737290266,0.00543084453518073,0
"360",359,100,87.98,141.76,0.3,36,4,88.9773373333333,7.29406402272304,-0.110226626666667,1.05275504040945,-0.855669618866817,0.00496273485334561,0.1
"361",360,100,91.88,142.94,0.3,36,5,92.4994564444444,8.34885341311639,-0.0750054355555556,0.809476443415323,-0.903043399690836,0.00381590854899829,0.28
