"","sim","N_actual","N_mean","n_captured","tau","pa_detects_total","N_lower_95","N_upper_95","cred_contains_actual_N","N_sd","N_naive_se","seed"
"77",2,10,11.4750222222222,10,0.35,30,10,15,1,1.46527261021892,0.00690736132648476,6768470
"78",2,10,10.2798444444444,10,0.35,27,10,12,1,0.664886974284597,0.00313430725492829,528335
"79",2,10,9.64188888888889,9,0.35,29,9,12,1,0.989781335127846,0.0046658739597385,4685925
"80",2,10,8.45811111111111,7,0.35,33,7,12,1,1.47507600778682,0.00695357498581092,3650990
"81",2,10,9.88477777777778,9,0.35,33,9,13,1,1.21187679446333,0.0057128419955176,4817768
"82",2,10,10.5507111111111,10,0.35,38,10,13,1,0.947736196867078,0.0044676712772044,5274895
"83",2,10,9.33706666666667,8,0.35,30,8,13,1,1.40888732901382,0.00664155856182315,1409471
"84",2,10,10.8072,10,0.35,34,10,14,1,1.12519167015417,0.00530420440067086,7111503
"85",2,10,9.48348888888889,8,0.35,36,8,13,1,1.47070576572303,0.00693297346715274,4833391
"86",2,10,10.8081333333333,10,0.35,42,10,14,1,1.1584162092953,0.00546082638019414,915026
"87",2,10,11.4235333333333,10,0.35,37,10,15,1,1.45804285936837,0.00687327995413334,4040901
"88",2,10,9.58242222222222,9,0.35,22,9,12,1,0.928836293608993,0.00437857627882065,8349717
"89",2,10,10.4779333333333,10,0.35,25,10,13,1,0.814272010774826,0.00383851507032857,1908720
"90",2,10,11.0687111111111,10,0.35,29,10,14,1,1.26277595309832,0.00595278293036754,3537952
"91",2,10,7.50995555555556,7,0.35,28,7,10,1,0.913824381208639,0.00430780944510819,842334
"92",2,10,10.3919111111111,9,0.35,26,9,14,1,1.449263077168,0.00683189166392519,514226
"93",2,10,6.1388,5,0.35,34,5,9,0,1.27918977417981,0.0060301584249802,7549820
"94",2,10,9.66751111111111,9,0.35,39,9,13,1,1.08503434194466,0.00511490094006235,3275578
"95",2,10,9.83973333333333,9,0.35,33,9,13,1,1.11080942157381,0.00523640583067164,628802
"96",2,10,9.8368,9,0.35,40,9,13,1,1.16831145154637,0.00550747299950893,4240608
"97",2,10,10.0328,9,0.35,27,9,13,1,1.24441093390114,0.00586620939962789,4163157
"98",2,10,10.8611777777778,10,0.35,29,10,14,1,1.17068971211352,0.00551868422733866,3809057
"99",2,10,9.1152,8,0.35,30,8,13,1,1.34449173261389,0.00633799480920353,1611455
"100",2,10,9.96931111111111,9,0.35,26,9,13,1,1.20414163620144,0.00567637810978068,6113337
"101",3,10,5.95275555555556,5,0.45,27,5,9,0,1.20919643167704,0.00570020664416939,4307872
"102",3,10,10.2165555555556,10,0.45,19,10,12,1,0.667817541471717,0.0031481220811332,2770999
"103",3,10,10.248,10,0.45,25,10,12,1,0.629333263777484,0.00296670545628881,3124219
"104",3,10,9.17146666666667,8,0.45,33,8,13,1,1.41178339802584,0.00665521076207107,2439563
"105",3,10,10.1841111111111,10,0.45,28,10,12,1,0.510422482427929,0.00240615465729907,3342981
"106",3,10,10.9941333333333,10,0.45,24,10,14,1,1.30539185473085,0.00615367621723913,1145016
"107",3,10,10.6227555555556,10,0.45,28,10,14,1,1.06185399545657,0.00500562773878247,8825258
"108",3,10,10.0834444444444,10,0.45,24,10,11,1,0.371657077308108,0.00175200826427024,7432831
"109",3,10,9.86764444444444,9,0.45,32,9,13,1,1.18534660057887,0.0055877774621716,2959150
"110",3,10,10.4266666666667,10,0.45,35,10,13,1,0.890078551337871,0.00419587052959805,9430068
"111",3,10,10.1526,10,0.45,14,10,11,1,0.458580081354779,0.00216176723495362,1116666
"112",3,10,10.234,10,0.45,27,10,12,1,0.646776594092456,0.0030489341039701,7047188
"113",3,10,10.0895555555556,10,0.45,27,10,11,1,0.371998491454192,0.0017536177059895,8484327
"114",3,10,10.3113333333333,10,0.45,29,10,12,1,0.704599436407599,0.00332151359669355,111829
"115",3,10,10.1003777777778,9,0.45,27,9,14,1,1.33863434157252,0.00631038280303412,7467729
"116",3,10,11.5562222222222,10,0.45,27,10,15,1,1.49954071783583,0.0070689027349804,5099397
"117",3,10,9.81244444444444,9,0.45,19,9,13,1,1.1536835893677,0.00543851659590359,6432392
"118",3,10,10.5081111111111,10,0.45,28,10,13,1,0.997018148610402,0.00469998862565648,3673604
"119",3,10,10.5909111111111,10,0.45,29,10,14,1,1.05728373668193,0.00498408333230695,5101910
"120",3,10,10.4204444444444,10,0.45,24,10,13,1,0.856840777212411,0.00403918615976032,2746087
"121",3,10,10.5350666666667,10,0.45,31,10,13,1,0.973671320721968,0.0045899306235291,3226366
"122",3,10,11.1001111111111,10,0.45,33,10,14,1,1.32654739139221,0.00625340437345836,6484652
"123",3,10,11.3916444444444,10,0.45,17,10,15,1,1.39851996505197,0.00659268633942016,9652105
"124",3,10,9.2306,9,0.45,27,9,12,1,0.726369838659534,0.00342414025710357,8859654
"125",3,10,9.74186666666667,9,0.45,23,9,13,1,1.09354387239329,0.00515501525129527,9073343
"126",3,10,9.07813333333333,9,0.45,18,9,10,1,0.384979982440267,0.00181481304136394,4682440
"127",3,10,11.2938666666667,10,0.45,23,10,15,1,1.43030651708516,0.0067425295827082,7209795
"128",3,10,11.2294,10,0.45,22,10,15,1,1.47300956893015,0.00694383369962121,6129387
"129",3,10,10.1335333333333,10,0.45,30,10,12,1,0.480574405194426,0.00226544947185113,571793
"130",3,10,11.2994,10,0.45,30,10,15,1,1.50832842617722,0.00711032838937563,5346377
"131",3,10,10.7960444444444,10,0.45,34,10,14,1,1.14213640347742,0.00538408263959266,9269820
"132",3,10,9.78973333333333,9,0.45,21,9,13,1,1.16746467730313,0.00550348126744539,1707594
"133",3,10,10.6388,10,0.45,28,10,13,1,1.00485559973977,0.00473693472459509,9930989
"134",3,10,10.6138444444444,10,0.45,24,10,14,1,1.07612404235515,0.00507289738498138,6394794
"135",3,10,10.5598888888889,10,0.45,37,10,14,1,1.07208777435681,0.00505387023516597,6153598
"136",3,10,9.30757777777778,9,0.45,32,9,12,1,0.784919416617873,0.00370014561450324,1525252
"137",3,10,10.9738444444444,10,0.45,27,10,14,1,1.28020704784809,0.0060349538990413,6908325
"138",3,10,10.4291777777778,10,0.45,28,10,13,1,0.867705050884011,0.00409040083699935,7959315
"139",3,10,10.7690222222222,10,0.45,26,10,14,1,1.16027356173271,0.00546958202355111,9210981
"140",3,10,10.2992666666667,10,0.45,31,10,13,1,0.740440170163751,0.00349046843590473,9292179
"141",3,10,11.2340444444444,10,0.45,31,10,15,1,1.39180922259101,0.00656105159608056,6712506
"142",3,10,9.39913333333333,9,0.45,24,9,12,1,0.868010748047367,0.00409184190724734,7880213
"143",3,10,10.4954888888889,10,0.45,26,10,13,1,0.971093624817717,0.00457777924850422,7066313
"144",3,10,10.2272444444444,10,0.45,27,10,12,1,0.71828057405777,0.0033860070980721,751253
"145",3,10,10.4651111111111,10,0.45,27,10,13,1,0.934547993231619,0.00440550148905572,6994784
"146",3,10,9.18684444444444,8,0.45,24,8,13,1,1.3255671242429,0.00624878334980072,6525951
"147",3,10,9.95197777777778,9,0.45,32,9,13,1,1.22759684815315,0.00578694703928215,4188153
"148",3,10,10.3526666666667,10,0.45,18,10,13,1,0.846113939120074,0.00398861936005511,627464
"149",3,10,10.1946888888889,10,0.45,29,10,12,1,0.612312657448698,0.00288646954858887,987266
"150",3,10,9.71893333333333,9,0.45,24,9,12,1,1.00273043091038,0.00472691658265892,1575264
"151",4,10,10.8132222222222,10,0.5,20,10,14,1,1.20777657519954,0.00569351337654575,4476610
"152",4,10,10.2326888888889,10,0.5,11,10,12,1,0.650964044042562,0.00306867393234076,2497633
"153",4,10,10.7082,10,0.5,19,10,14,1,1.12081944661764,0.00528359354126056,3570940
"154",4,10,10.0856444444444,10,0.5,14,10,11,1,0.396486892398362,0.00186905713510975,10563
"155",4,10,10.2676666666667,10,0.5,24,10,13,1,0.746242615865819,0.00351782142726072,4702396
"156",4,10,10.9648,10,0.5,17,10,14,1,1.25699662547515,0.00592553891868058,31038
"157",4,10,10.6866222222222,10,0.5,22,10,14,1,1.07007675365458,0.00504439019266159,240795
"158",4,10,10.8120888888889,10,0.5,25,10,14,1,1.20976110742192,0.00570286855115856,8290976
"159",4,10,10.5941555555556,10,0.5,19,10,13,1,0.99264011880234,0.0046793503952197,6582951
"160",4,10,10.6472,10,0.5,20,10,14,1,1.07926015813806,0.00508768117655927,2295898
"161",4,10,11.1452,10,0.5,19,10,15,1,1.34975787990402,0.00636281966560072,8338044
"162",4,10,10.4096888888889,10,0.5,24,10,13,1,0.852156764602433,0.00401710551256246,5136666
"163",4,10,10.7173333333333,10,0.5,27,10,14,1,1.07359864851358,0.00506099256424442,8137334
"164",4,10,10.2431111111111,10,0.5,19,10,12,1,0.720661483136118,0.00339723081110336,9402553
"165",4,10,10.3660888888889,10,0.5,27,10,13,1,0.914158840207513,0.00430938609994908,3740980
"166",4,10,10.5600444444444,10,0.5,23,10,13,1,1.0076901568611,0.00475029695500945,4538087
"167",4,10,10.6987333333333,10,0.5,18,10,14,1,1.18734192005912,0.00559718348840571,826582
"168",4,10,10.0839777777778,10,0.5,18,10,11,1,0.38337086630743,0.00180722759516897,6653910
"169",4,10,10.5172666666667,10,0.5,23,10,13,1,0.947833578787766,0.00446813033998095,3742237
"170",4,10,10.2343555555556,10,0.5,25,10,12,1,0.693284725136173,0.0032681755362456,4480438
"171",4,10,10.3382444444444,10,0.5,21,10,13,1,0.78161076170366,0.00368454846566027,5039381
"172",4,10,10.8753555555556,10,0.5,23,10,14,1,1.19295424566208,0.0056236402450196,4151765
"173",4,10,10.4798444444444,10,0.5,22,10,13,1,0.903776468467681,0.00426044313020218,9107199
"174",4,10,10.4803777777778,10,0.5,21,10,13,1,0.908350136575446,0.00428200360842816,8950091
"175",4,10,10.2180666666667,10,0.5,17,10,12,1,0.569862294146271,0.00268635661688901,3434456
"176",4,10,10.6902444444444,10,0.5,22,10,14,1,1.10295092881539,0.0051993605405424,803566
"177",4,10,10.0510444444444,10,0.5,26,10,11,1,0.286505109370334,0.00135059803786904,599135
"178",4,10,11.1803555555556,10,0.5,14,10,15,1,1.50958797297629,0.00711626594992791,4100914
"179",4,10,10.7126,10,0.5,24,10,14,1,1.12770492119949,0.00531605197971732,1785622
"180",4,10,11.0593777777778,10,0.5,29,10,15,1,1.3588000336515,0.00640544478714323,6607450
"181",4,10,11.1948888888889,10,0.5,17,10,15,1,1.42205521603599,0.00670363257653831,7588015
"182",4,10,11.1248666666667,10,0.5,27,10,15,1,1.41364283235474,0.00666397621955865,7050259
"183",4,10,10.8600666666667,10,0.5,21,10,14,1,1.30873605343355,0.0061694409211079,6093179
"184",4,10,10.2025555555556,10,0.5,20,10,12,1,0.636677337941001,0.00300132575390587,9050429
"185",4,10,10.1138222222222,10,0.5,21,10,11,1,0.469922532740227,0.00221523606355315,9596515
"186",4,10,10.5171333333333,10,0.5,16,10,13,1,0.980042523831928,0.00461996476301823,1153014
"187",4,10,11.1122222222222,10,0.5,20,10,14,1,1.29903353190743,0.00612370279600302,6847639
"188",4,10,10.1692888888889,10,0.5,18,10,12,1,0.552261255344055,0.00260338452426918,981234
"189",4,10,8.20355555555556,7,0.5,18,7,12,1,1.35462390120345,0.00638575830998892,2552615
"190",4,10,10.5743777777778,10,0.5,21,10,13,1,1.02206873222098,0.00481807820928129,3331922
"191",4,10,10.3424666666667,10,0.5,14,10,12,1,0.736444741094472,0.00347163380264715,7915521
"192",4,10,10.4018444444444,10,0.5,15,10,14,1,1.00063810960515,0.00471705328543659,8621496
"193",4,10,11.4075111111111,10,0.5,15,10,15,1,1.43447333702187,0.00676217216026304,6351731
"194",4,10,10.6937333333333,10,0.5,20,10,14,1,1.12035994222492,0.00528142741678006,1126297
"195",4,10,10.2798,9,0.5,26,9,14,1,1.45742666895758,0.00687037520468017,9597267
"196",4,10,10.3758222222222,10,0.5,24,10,13,1,0.838474774254153,0.00395260799152647,7352171
"197",4,10,10.1113777777778,10,0.5,19,10,11,1,0.442768327221393,0.00208722991115247,1871257
"198",4,10,10.2238222222222,10,0.5,27,10,13,1,0.721636771319316,0.00340182836368969,4386895
"199",4,10,10.5100666666667,10,0.5,13,10,13,1,0.910973467995875,0.0042943701113394,9240065
"200",4,10,10.2522666666667,10,0.5,22,10,12,1,0.709534624311881,0.00334477829558387,8113793
"201",5,10,10.2525111111111,10,0.55,17,10,13,1,0.791824099852845,0.0037326946034192,3528673
"202",5,10,10.5527333333333,10,0.55,18,10,14,1,1.10111131989599,0.00519068854093148,6890244
